file_names,link,noput,absris,tahun
000084.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76400,PUT-000084.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000084.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70932,PUT-000084.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000085.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76366,PUT-000085.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000085.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70933,PUT-000085.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000086.16.2019_w.txt,,,,
000086.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/82400,PUT-000086.16/2020/PP/M.XXB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000086.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70934,PUT-000086.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000087.16.2019_w.txt,,,,
000087.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68749,PUT-000087.16/2020/PP/M.XIVA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000087.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70935,PUT-000087.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000088.16.2019_w.txt,,,,
000088.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/84089,PUT-000088.16/2020/PP/M.IVA Tahun 2022,Pajak Pertambahan Nilai (PPN),2023.0
000088.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70936,PUT-000088.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000089.16.2019_w.txt,,,,
000089.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70937,PUT-000089.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000090.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/80042,PUT-000090.16/2020/PP/M.IVA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000090.16.2020_w.txt,,,,
000090.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70938,PUT-000090.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000091.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/81282,PUT-000091.16/2020/PP/M.IVA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000091.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/73689,PUT-000091.16/2021/PP/M.IIIA Tahun 2022 ,Pajak Pertambahan Nilai (PPN),2022.0
000092.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70939,PUT-000092.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000093.16.2020w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/81283,PUT-000093.16/2020/PP/M.IVA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000111.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60719,PUT-000111.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000112.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60763,PUT-000112.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000113.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60720,PUT-000113.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000114.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60764,PUT-000114.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000116.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60900,PUT-000116.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000117.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42176,PUT-000117.16/2018/PP/M.VIllB Tahun 2020,PPN,2020.0
000118.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/68750,PUT-000118.16/2018/PP/M.VIIIB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000118.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60765,PUT-000118.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000119.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42177,PUT-000119.16/2018/PP/M.VIllB Tahun 2020,PPN,2020.0
000119.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60807,PUT-000119.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000120.16.2018w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/42178,PUT-000120.16/2018/PP/M.VIllB Tahun 2020,PPN,2020.0
000120.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/60808,PUT-000120.16/2020/PP/M.XIB Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
